featureID (Route),Route Name,needsMultiLineString,featureID (Cities),,,,,,,,,,,,,,,
HTT_105,Andhra Pradesh,,HTT_105,,,,,,,,,,,,,,,
HTT_120,Tampa TBARTA Phase 1,true,HTT_203,,,,,,,,,,,,,,,
HTT_104,Abu Dhabi-Al Ain,true,HTT_104,,,,,,,,,,,,,,,
HTT_108,South Korea-w/ KICT,,HTT_108,HTT_108,HTT_108,HTT_108,HTT_108,HTT_108,,,,,,,,,,
HTT_101,Great Lakes-v. Straight,,HTT_101,HTT_101,HTT_101,HTT_101,,,,,,,,,,,,
HTT_121,Tampa TBARTA Phase 2,true,HTT_204,,,,,,,,,,,,,,,
HTT_122,Tampa TBARTA Phase 3,true,HTT_202,HTT_214,HTT_207,HTT_209,HTT_212,HTT_213,HTT_208,HTT_211,HTT_210,,,,,,,
HTT_119,Great Lakes-v. Hybrid,,HTT_119,HTT_119,HTT_119,HTT_119,HTT_119,HTT_119,,,,,,,,,,
HTT_118,Great Lakes-v. Toll Road,,HTT_118,HTT_118,HTT_118,HTT_118,HTT_118,HTT_118,,,,,,,,,,
VHO_126,Arabian Peninsula 1,,,,,,,,,,,,,,,,,
VHO_133,Bengaluru - Thir,,,,,,,,,,,,,,,,,
VHO_129,New Delhi - Mumbai,,,,,,,,,,,,,,,,,
VHO_136,NORTH CAROLINA,,,,,,,,,,,,,,,,,
VHO_112,New England,,,,,,,,,,,,,,,,,
VHO_109,Hyperloop Missouri,,,,,,,,,,,,,,,,,
VHO_134,Bengaluru - Chennai,,,,,,,,,,,,,,,,,
VHO_130,Mumbai - Pune,,,,,,,,,,,,,,,,,
VHO_107,Cheyenne - Houston,,,,,,,,,,,,,,,,,
VHO_110,HyperLoop MidWest,,,,,,,,,,,,,,,,,
VHO_106,Cheyenne - Pueblo,,,,,,,,,,,,,,,,,
VHO_101,Pacific NorthWest,,,,,,,,,,,,,,,,,
VHO_103,Hyperloop West,,,,,,,,,,,,,,,,,
VHO_125,Finland - Estonia,,,,,,,,,,,,,,,,,
VHO_135,MISSOURI,,,,,,,,,,,,,,,,,
VHO_115,Spain - Morocco,,,,,,,,,,,,,,,,,
VHO_114,HyperLoop Mexico,,,,,,,,,,,,,,,,,
VHO_128,UAE,,,,,,,,,,,,,,,,,
VHO_122,Germany,,,,,,,,,,,,,,,,,
VHO_105,Cheyenne - Denver - Pueblo,,,,,,,,,,,,,,,,,
VHO_118,UK: Scotland - Wales,,,,,,,,,,,,,,,,,
VHO_108,Dallas - Laredo - Houston,,,,,,,,,,,,,,,,,
VHO_124,Baltic Super Region,,,,,,,,,,,,,,,,,
VHO_131,Mumbai - Kolkata,,,,,,,,,,,,,,,,,
VHO_113,Great Lakes Canada,,,,,,,,,,,,,,,,,
VHO_117,Corsica-Sardinia,,,,,,,,,,,,,,,,,
VHO_120,UK: Edinburgh - London,,,,,,,,,,,,,,,,,
VHO_127,Arabian Peninsula 2,,,,,,,,,,,,,,,,,
VHO_119,UK: Glasgow - Liverpool,,,,,,,,,,,,,,,,,
VHO_121,Netherlands,,,,,,,,,,,,,,,,,
VHO_102,Hyperloop Nevada,,,,,,,,,,,,,,,,,
VHO_111,Miami - Orlando,,,,,,,,,,,,,,,,,
VHO_132,Mumbai - Chennai,,,,,,,,,,,,,,,,,
VHO_137,TEXAS,,,,,,,,,,,,,,,,,
VHO_123,Poland,,,,,,,,,,,,,,,,,
HP_102,Hyper Poland,,HP_106,HP_123,HP_119,HP_104,HP_111,HP_107,HP_121,HP_113,HP_122,HP_112,HP_120,HP_114,,,,
STML_102,Euro AF Link,true,STML_203,STML_202,STML_207,STML_206,STML_208,,,,,,,,,,,
STML_102,Euro AF Link,true,STML_203,STML_202,STML_207,STML_206,STML_208,,,,,,,,,,,
STML_103,Major Link Line,true,STML_204,,,,,,,,,,,,,,,
SP_102,,true,SP_104,,,,,,,,,,,,,,,
HP_103,Hyper Poland,,HP_110,HP_118,HP_109,HP_115,HP_108,HP_116,,,,,,,,,,
TP_103,Mexico,,TP_103,TP_103,,,,,,,,,,,,,,
TP_101,Vancouver-San Fransico,,TP_101,TP_101,TP_101,,,,,,,,,,,,,
TP_113,Thailand-Malaysia,,TP_113,,,,,,,,,,,,,,,
TP_111,Saudi Arabia,,TP_111,TP_111,TP_111,,,,,,,,,,,,,
TP_108,Florida,,TP_108,,,,,,,,,,,,,,,
TP_107,Boston-DC,,TP_107,TP_107,TP_107,,,,,,,,,,,,,
TP_104,Texas,,TP_104,TP_104,TP_104,,,,,,,,,,,,,
TP_112,Chiang Mai-Phuket,,TP_112,TP_112,TP_112,TP_112,TP_112,TP_112,,,,,,,,,,
TP_102,Alberta,,TP_102,,,,,,,,,,,,,,,
TP_109,UK,,TP_109,TP_109,TP_109,TP_109,TP_109,TP_109,,,,,,,,,,
TP_106,Toronto-Montreal-Boston,,TP_106,TP_106,TP_106,,,,,,,,,,,,,
TP_110,Paris-Germany,,TP_110,TP_110,TP_110,TP_110,,,,,,,,,,,,
TP_105,Chicago-Detroit-Toronto,,TP_105,TP_105,,,,,,,,,,,,,,
TP_114,Australia,,TP_114,TP_114,TP_114,TP_114,,,,,,,,,,,,
BOR_109,LV Conceptual Future Expansion,,BOR_109,BOR_109,BOR_109,BOR_109,BOR_109,BOR_109,BOR_109,BOR_109,BOR_109,BOR_109,BOR_109,BOR_109,BOR_109,BOR_109,BOR_109,BOR_109
BOR_110,Chicago Express Loop,,BOR_110,,,,,,,,,,,,,,,
BOR_101,Hawthorne Test Tunnel,,BOR_101,,,,,,,,,,,,,,,
BOR_106,LVCC Loop,,BOR_106,BOR_106,,,,,,,,,,,,,,
BOR_111,East Coast Loop,,BOR_111,,,,,,,,,,,,,,,
BOR_104,Dugout Loop Design 3,,,,,,,,,,,,,,,,,
BOR_105,LA Loop Network,,BOR_105,BOR_105,BOR_105,BOR_105,BOR_105,BOR_105,BOR_105,BOR_105,BOR_105,BOR_105,BOR_105,BOR_105,BOR_105,BOR_105,BOR_105,BOR_105
BOR_102,Dugout Loop Design 1,,BOR_102,,,,,,,,,,,,,,,
BOR_103,Dugout Loop Design 2,,,,,,,,,,,,,,,,,
DGW_101,Delhi-Mumbai Hyperloop Corridor,,DGW_101,DGW_101,DGW_101,DGW_101,DGW_101,DGW_101,DGW_101,,,,,,,,,
