featureID,name,nearbyStops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOR_101_001,120th & Prairie,BOR_101_002,Space X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOR_101_002,Space X,BOR_101_001,120th & Prairie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOR_102_001,Dodger Station,BOR_102_002,Vermont / Santa Monica Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOR_102_001,Dodger Station,BOR_102_003,Vermont / Sunset Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOR_102_001,Dodger Station,BOR_104_001,Vermont / Beverly Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOR_102_002,Vermont / Santa Monica Station,BOR_102_001,Dodger Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOR_102_003,Vermont / Sunset Station,BOR_102_001,Dodger Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOR_104_001,Vermont / Beverly Station,BOR_102_001,Dodger Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOR_105_011,Echo Park / Silver Lake,BOR_105_003,Union Station,BOR_105_004,Convention Center / Staples Center,BOR_105_013,Dodger Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOR_105_013,Dodger Station,BOR_105_003,Union Station,BOR_105_011,Echo Park / Silver Lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOR_105_003,Union Station,BOR_105_004,Convention Center / Staples Center,BOR_105_011,Echo Park / Silver Lake,BOR_105_013,Dodger Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOR_105_004,Convention Center / Staples Center,BOR_105_003,Union Station,BOR_105_011,Echo Park / Silver Lake,BOR_105_013,Dodger Station,BOR_105_023,USC / Coliseum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOR_105_023,USC / Coliseum,BOR_105_004,Convention Center / Staples Center,BOR_105_010,South LA,BOR_105_015,Leimert Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOR_105_001,Lawndale,BOR_105_002,Sherman Oaks,BOR_105_003,Union Station,BOR_105_004,Convention Center / Staples Center,BOR_105_005,Hawthorne,BOR_105_006,UCLA / Westwood,BOR_105_007,The Getty,BOR_105_008,Culver City,BOR_105_009,LA Stadium,BOR_105_010,South LA,BOR_105_011,Echo Park / Silver Lake,BOR_105_012,Carson,BOR_105_013,Dodger Station,BOR_105_014,Venice / Marina,BOR_105_015,Leimert Park,BOR_105_016,Santa Monica,BOR_105_017,Torrance,BOR_105_018,inglewood,BOR_105_019,West LA,BOR_105_020,South Bay,BOR_105_021,LAX,BOR_105_022,Long Beach Airport,BOR_105_023,USC / Coliseum,,,,,,,,,,,,
BOR_105_002,Sherman Oaks,BOR_105_001,Lawndale,BOR_105_003,Union Station,BOR_105_004,Convention Center / Staples Center,BOR_105_005,Hawthorne,BOR_105_006,UCLA / Westwood,BOR_105_007,The Getty,BOR_105_008,Culver City,BOR_105_009,LA Stadium,BOR_105_010,South LA,BOR_105_011,Echo Park / Silver Lake,BOR_105_012,Carson,BOR_105_013,Dodger Station,BOR_105_014,Venice / Marina,BOR_105_015,Leimert Park,BOR_105_016,Santa Monica,BOR_105_017,Torrance,BOR_105_018,inglewood,BOR_105_019,West LA,BOR_105_020,South Bay,BOR_105_021,LAX,BOR_105_022,Long Beach Airport,BOR_105_023,USC / Coliseum,,,,,,,,,,,,
BOR_105_005,Hawthorne,BOR_105_001,Lawndale,BOR_105_002,Sherman Oaks,BOR_105_003,Union Station,BOR_105_004,Convention Center / Staples Center,BOR_105_006,UCLA / Westwood,BOR_105_007,The Getty,BOR_105_008,Culver City,BOR_105_009,LA Stadium,BOR_105_010,South LA,BOR_105_011,Echo Park / Silver Lake,BOR_105_012,Carson,BOR_105_013,Dodger Station,BOR_105_014,Venice / Marina,BOR_105_015,Leimert Park,BOR_105_016,Santa Monica,BOR_105_017,Torrance,BOR_105_018,inglewood,BOR_105_019,West LA,BOR_105_020,South Bay,BOR_105_021,LAX,BOR_105_022,Long Beach Airport,BOR_105_023,USC / Coliseum,,,,,,,,,,,,
BOR_105_006,UCLA / Westwood,BOR_105_001,Lawndale,BOR_105_002,Sherman Oaks,BOR_105_003,Union Station,BOR_105_004,Convention Center / Staples Center,BOR_105_005,Hawthorne,BOR_105_007,The Getty,BOR_105_008,Culver City,BOR_105_009,LA Stadium,BOR_105_010,South LA,BOR_105_011,Echo Park / Silver Lake,BOR_105_012,Carson,BOR_105_013,Dodger Station,BOR_105_014,Venice / Marina,BOR_105_015,Leimert Park,BOR_105_016,Santa Monica,BOR_105_017,Torrance,BOR_105_018,inglewood,BOR_105_019,West LA,BOR_105_020,South Bay,BOR_105_021,LAX,BOR_105_022,Long Beach Airport,BOR_105_023,USC / Coliseum,,,,,,,,,,,,
BOR_105_007,The Getty,BOR_105_001,Lawndale,BOR_105_002,Sherman Oaks,BOR_105_003,Union Station,BOR_105_004,Convention Center / Staples Center,BOR_105_005,Hawthorne,BOR_105_006,UCLA / Westwood,BOR_105_008,Culver City,BOR_105_009,LA Stadium,BOR_105_010,South LA,BOR_105_011,Echo Park / Silver Lake,BOR_105_012,Carson,BOR_105_013,Dodger Station,BOR_105_014,Venice / Marina,BOR_105_015,Leimert Park,BOR_105_016,Santa Monica,BOR_105_017,Torrance,BOR_105_018,inglewood,BOR_105_019,West LA,BOR_105_020,South Bay,BOR_105_021,LAX,BOR_105_022,Long Beach Airport,BOR_105_023,USC / Coliseum,,,,,,,,,,,,
