featureID,name,FeatureType,subFeatureType,cityID
HTT_101_001,Cleveland Downtown,Point,STN,
HTT_101_002,South Bend,Point,STN,
HTT_101_003,Cleveland Hopkins Airport,Point,STN,
HTT_101_004,Toledo,Point,STN,
HTT_101_005,Chicago Downtown,Point,STN,
HTT_118_001,Toledo Airport,Point,STN,
HTT_118_002,Pittsburgh,Point,STN,
HTT_118_003,South Bend,Point,STN,
HTT_118_004,Chicago Downtown,Point,STN,
HTT_118_005,Cleveland Hopkins Airport,Point,STN,
HTT_118_006,Cleveland Downtown,Point,STN,
HTT_118_007,North Lima,Point,STN,
HTT_105_001,Vijaywada,Point,STN,
HTT_105_002,Amaravati,Point,STN,
HTT_108_001,Gwangju,Point,STN,
HTT_108_002,Ulsan,Point,STN,
HTT_108_003,Incheon,Point,STN,
HTT_108_004,Busan,Point,STN,
HTT_108_005,Incheon,Point,STN,
HTT_108_006,Seoul,Point,STN,
HTT_108_007,Daegu,Point,STN,
HTT_119_001,Pittsburgh Airport,Point,STN,
HTT_119_002,Youngstown Downtown,Point,STN,
HTT_119_003,Toledo Airport,Point,STN,
HTT_119_004,Cleveland Downtown,Point,STN,
HTT_119_005,Chicago Downtown,Point,STN,
HTT_119_006,Pittsburgh,Point,STN,
HTT_119_007,Cleveland Hopkins Airport,Point,STN,
HTT_104_001,Abu Dhabi,Point,STN,
HTT_104_002,Al Ain,Point,STN,
HTT_113,Al Ghadeer-Commercial System,Point,STN,
HTT_117,Czech Republic,Point,STN,
HTT_111,Office-Dubai,Point,STN,
TP_109_001,Newcastle,Point,STN,
TP_109_002,Oxford,Point,STN,
TP_109_003,Glasgow,Point,STN,
TP_109_004,Edinburgh,Point,STN,
TP_109_005,London,Point,STN,
TP_109_006,Birmingham,Point,STN,
TP_109_007,Manchester,Point,STN,
TP_106_001,Montréal,Point,STN,
TP_106_002,Ottawa,Point,STN,
TP_106_003,Boston,Point,STN,
TP_106_004,Toronto,Point,STN,
TP_112_001,Hua Hin,Point,STN,
TP_112_002,Phitsanulok,Point,STN,
TP_112_003,Chiang Mai,Point,STN,
TP_112_004,Bangkok,Point,STN,
TP_112_005,Nakhon Sawan,Point,STN,
TP_112_006,Surat Thani,Point,STN,
TP_112_007,Phuket,Point,STN,
TP_101_001,Portland,Point,STN,
TP_101_002,Seattle,Point,STN,
TP_101_003,Vancouver,Point,STN,
TP_101_004,San Fransico,Point,STN,
TP_111_001,Dammam,Point,STN,
TP_111_002,Riyadh,Point,STN,
TP_111_003,Jeddah,Point,STN,
TP_111_004,Mecca,Point,STN,
TP_110_001,Frankfurt,Point,STN,
TP_110_002,Bordeaux,Point,STN,
TP_110_003,Paris,Point,STN,
TP_110_004,Toulouse,Point,STN,
TP_110_005,Montpellier,Point,STN,
TP_114_001,Sydney,Point,STN,
TP_114_002,Brisbane,Point,STN,
TP_114_003,Melbourne,Point,STN,
TP_114_004,Adelaide,Point,STN,
TP_114_005,Canberra,Point,STN,
TP_105_001,Chicago,Point,STN,
TP_105_002,Toronto,Point,STN,
TP_105_003,Detroit,Point,STN,
TP_107_001,New York,Point,STN,
TP_107_002,Washinton DC,Point,STN,
TP_107_003,Boston,Point,STN,
TP_107_004,Philadelphia,Point,STN,
TP_113_001,Surat Thani,Point,STN,
TP_113_002,KL,Point,STN,
TP_108_001,Miami,Point,STN,
TP_108_002,Orlando,Point,STN,
TP_104_001,DFW,Point,STN,
TP_104_002,Houston,Point,STN,
TP_104_003,Austin,Point,STN,
TP_104_004,San Antonio,Point,STN,
TP_102_001,Calgary,Point,STN,
TP_102_002,Edmonton,Point,STN,
TP_103_001,Mexico City,Point,STN,
TP_103_002,Guadalajara,Point,STN,
TP_103_003,Leon,Point,STN,
BOR_105_001,Lawndale,Point,STN,
BOR_105_002,Sherman Oaks,Point,STN,
BOR_105_003,Union Station,Point,STN,
BOR_105_004,Convention Center / Staples Center,Point,STN,
BOR_105_005,Hawthorne,Point,STN,
BOR_105_006,UCLA / Westwood,Point,STN,
BOR_105_007,The Getty,Point,STN,
BOR_105_008,Culver City,Point,STN,
BOR_105_009,LA Stadium,Point,STN,
BOR_105_010,South LA,Point,STN,
BOR_105_011,Echo Park / Silver Lake,Point,STN,
BOR_105_012,Carson,Point,STN,
BOR_105_013,Dodger Station,Point,STN,
BOR_105_014,Venice / Marina,Point,STN,
BOR_105_015,Leimert Park,Point,STN,
BOR_105_016,Santa Monica,Point,STN,
BOR_105_017,Torrance,Point,STN,
BOR_105_018,inglewood,Point,STN,
BOR_105_019,West LA,Point,STN,
BOR_105_020,South Bay,Point,STN,
BOR_105_021,LAX,Point,STN,
BOR_105_022,Long Beach Airport,Point,STN,
BOR_105_023,USC / Coliseum,Point,STN,
BOR_109_001,Terminal 3,Point,STN,
BOR_109_002,Bellagio,Point,STN,
BOR_109_003,Circus Circus,Point,STN,
BOR_109_004,Planet Hollywood,Point,STN,
BOR_109_005,The Drew,Point,STN,
BOR_109_006,Park MGM,Point,STN,
BOR_109_007,Mirage,Point,STN,
BOR_109_008,Tropicana,Point,STN,
BOR_109_009,Terminal 1,Point,STN,
BOR_109_010,Paris,Point,STN,
BOR_109_011,Treasure Island,Point,STN,
BOR_109_012,MGM Grand,Point,STN,
BOR_109_013,Cosmopolitan,Point,STN,
BOR_109_014,City Center,Point,STN,
BOR_109_015,Fashion Show,Point,STN,
BOR_109_016,Harrah's,Point,STN,
BOR_109_017,Palazzo,Point,STN,
BOR_109_018,Las Vegas Stadium,Point,STN,
BOR_109_019,Mandalay Bay,Point,STN,
BOR_109_020,Luxor,Point,STN,
BOR_109_021,Resorts World,Point,STN,
BOR_109_022,New York- New York,Point,STN,
BOR_109_023,Excalibur,Point,STN,
BOR_109_024,Venetian,Point,STN,
BOR_109_025,Flamingo,Point,STN,
BOR_109_026,Wynn,Point,STN,
BOR_109_027,Freemont Street Experience,Point,STN,
BOR_109_028,Ceasars Palace,Point,STN,
BOR_109_029,Stratosphere,Point,STN,
BOR_110_001,O'Hare Int Airport,Point,STN,
BOR_110_002,Block 37,Point,STN,
BOR_111_001,333 Camden Street,Point,STN,
BOR_111_002,New York Ave,Point,STN,
BOR_102_001,Dodger Station,Point,STN,
BOR_102_002,Vermont / Sunset Station,Point,STN,
BOR_101_001,120th & Prairie,Point,STN,
BOR_101_002,Space X,Point,STN,
BOR_103,Vermont / Santa Monica Station,Point,STN,
BOR_106_003,Station 3,Point,STN,
BOR_106_002,Station 2,Point,STN,
BOR_106_001,Station 1,Point,STN,
BOR_104,Vermont / Beverly Station,Point,STN,
DGW_101_001,Nashik,Point,STN,
DGW_101_002,Ujjain,Point,STN,
DGW_101_003,Mumbai,Point,STN,
DGW_101_004,Gurugram,Point,STN,
DGW_101_005,Indore,Point,STN,
DGW_101_006,Kota,Point,STN,
DGW_101_007,New Delhi,Point,STN,
DGW_101_008,Jaipur,Point,STN,
HTT_121_001,Bradenton,Point,STN,
HTT_121_002,St. Petersburg,Point,STN,
HTT_122_001,St. Petersburg,Point,STN,
HTT_122_002,Tampa,Point,STN,
HTT_122_003,Miami,Point,STN,
HTT_122_004,Bradenton,Point,STN,
HTT_122_005,Venice,Point,STN,
HTT_122_006,Naples,Point,STN,
HTT_122_007,Fort Lauderdale,Point,STN,
HTT_122_008,Sarasota,Point,STN,
HTT_122_009,Fort Myers,Point,STN,
HTT_122_010,Port Charlotte,Point,STN,
HTT_120_001,Tampa,Point,STN,
HTT_120_002,St. Petersburg,Point,STN,
VHO_127_001,Riyadh,Point,STN,
VHO_127_002,Riya,Point,STN,
VHO_127_003,Mecca,Point,STN,
VHO_127_004,Dubai,Point,STN,
VHO_127_005,Dubai,Point,STN,
VHO_127_006,Red Sea Project,Point,STN,
VHO_127_007,Manama,Point,STN,
VHO_127_008,Kuwait City,Point,STN,
VHO_127_009,Jeddah,Point,STN,
VHO_127_010,Muscat,Point,STN,
VHO_127_011,Dammam,Point,STN,
VHO_127_012,Qiddah,Point,STN,
VHO_127_013,Abu Dhabi,Point,STN,
VHO_127_014,Neom,Point,STN,
VHO_119_001,Manchester,Point,STN,
VHO_119_002,Glasgow,Point,STN,
VHO_119_003,Liverpool,Point,STN,
VHO_119_004,Leeds,Point,STN,
VHO_119_005,Newcastle,Point,STN,
VHO_119_006,Edinburgh,Point,STN,
VHO_128_001,Al Maktoum Airport,Point,STN,
VHO_128_002,Khalifa Port,Point,STN,
VHO_128_003,Jebel Ali Port,Point,STN,
VHO_128_004,Capital City,Point,STN,
VHO_128_005,Dubai Marina,Point,STN,
VHO_128_006,Burj Khalifa,Point,STN,
VHO_128_007,Al Maktoum Airport 2,Point,STN,
VHO_128_008,Abu Dhabi International Airport (AUH),Point,STN,
VHO_128_009,Saadiyat Cultural Centre,Point,STN,
VHO_128_010,Dubai Airport,Point,STN,
VHO_128_011,Zayed Port,Point,STN,
VHO_128_012,Etihad Towers,Point,STN,
VHO_126_001,Manama,Point,STN,
VHO_126_002,Riyadh,Point,STN,
VHO_126_003,Muscat,Point,STN,
VHO_126_004,Kuwait City,Point,STN,
VHO_126_005,Doha,Point,STN,
VHO_126_006,Mecca,Point,STN,
VHO_126_007,Jeddah,Point,STN,
VHO_126_008,Dubai,Point,STN,
VHO_126_009,Abu Dhabi,Point,STN,
VHO_113_001,Ottawa,Point,STN,
VHO_113_002,Montreal,Point,STN,
VHO_113_003,Toronto,Point,STN,
VHO_134_001,Chittoor,Point,STN,
VHO_134_002,Kanchipuram,Point,STN,
VHO_134_003,Bengaluru,Point,STN,
VHO_134_004,Palamaner,Point,STN,
VHO_134_005,Chennai,Point,STN,
VHO_134_006,Kolar,Point,STN,
VHO_110_001,Chicago,Point,STN,
VHO_110_002,Fort Wayne,Point,STN,
VHO_110_003,Marysville,Point,STN,
VHO_110_004,Columbus,Point,STN,
VHO_110_005,Lima,Point,STN,
VHO_110_006,Pittsburgh,Point,STN,
VHO_107_001,Pueblo,Point,STN,
VHO_107_002,Denver,Point,STN,
VHO_107_003,"Cheyenne, WY",Point,STN,
VHO_107_004,Houston,Point,STN,
VHO_107_005,DFW,Point,STN,
VHO_107_006,Fort Collins,Point,STN,
VHO_107_007,Houston Port,Point,STN,
VHO_107_008,Amarillo,Point,STN,
VHO_107_009,"Colorado Springs, CO",Point,STN,
VHO_132_001,Tumakuru,Point,STN,
VHO_139,BLR Airport,Point,STN,
VHO_132_002,Pune,Point,STN,
VHO_132_003,Hubballi,Point,STN,
VHO_132_004,Mumbai,Point,STN,
VHO_132_005,Chennai,Point,STN,
VHO_132_006,Hosur,Point,STN,
VHO_132_007,Bengaluru,Point,STN,
VHO_132_008,Vellore,Point,STN,
VHO_132_009,Sriperumbudur,Point,STN,
VHO_132_010,Kolhapur,Point,STN,
VHO_130_001,Mumbai,Point,STN,
VHO_130_002,Navi Mumbai Intl,Point,STN,
VHO_130_003,Pune,Point,STN,
VHO_106_001,Fort Collins,Point,STN,
VHO_106_002,Greeley,Point,STN,
VHO_106_003,"Cheyenne, WY",Point,STN,
VHO_106_004,"Pueblo, CO",Point,STN,
VHO_106_005,Denver,Point,STN,
VHO_106_006,Colorado Springs,Point,STN,
VHO_106_007,Longmont,Point,STN,
VHO_106_008,Loveland,Point,STN,
VHO_106_009,Monument,Point,STN,
VHO_106_010,Boulder,Point,STN,
VHO_106_011,Westminster,Point,STN,
VHO_106_012,Castle Rock,Point,STN,
VHO_106_013,Centennial,Point,STN,
VHO_122_001,Nuremberg,Point,STN,
VHO_122_002,Frankfurt,Point,STN,
VHO_122_003,Cologne,Point,STN,
VHO_122_004,Stuttgart,Point,STN,
VHO_122_005,Munich,Point,STN,
VHO_122_006,Berlin,Point,STN,
VHO_122_007,Hamburg,Point,STN,
VHO_122_008,Leipzig,Point,STN,
VHO_131_001,Hyderbad,Point,STN,
VHO_131_002,Kolkata,Point,STN,
VHO_131_003,Mangaluru,Point,STN,
VHO_131_004,Mumbai,Point,STN,
VHO_131_005,Chennai,Point,STN,
VHO_129_001,Indore,Point,STN,
VHO_129_002,New Delhi,Point,STN,
VHO_129_003,Mumbai,Point,STN,
VHO_129_004,Jaipur,Point,STN,
VHO_103_001,Tijuana,Point,STN,
VHO_103_002,Irvine,Point,STN,
VHO_103_003,Los Angeles,Point,STN,
VHO_103_004,San Diego,Point,STN,
VHO_103_005,Long Beach,Point,STN,
VHO_103_006,Solana Beach / North County,Point,STN,
VHO_103_007,Otay Mesa,Point,STN,
VHO_103_008,Ensenada,Point,STN,
VHO_135_001,Kansas City,Point,STN,
VHO_135_002,Columbia,Point,STN,
VHO_135_003,St. Louis,Point,STN,
VHO_123_001,Skierniewice,Point,STN,
VHO_123_002,Warsaw,Point,STN,
VHO_123_003,Lodz,Point,STN,
VHO_123_004,Wroclaw,Point,STN,
VHO_123_005,Sieradz,Point,STN,
VHO_123_006,Olesnica,Point,STN,
VHO_109_001,Kansas City,Point,STN,
VHO_109_002,Columbia,Point,STN,
VHO_109_003,St. Louis,Point,STN,
VHO_118_001,Bristol,Point,STN,
VHO_118_002,Nottingham,Point,STN,
VHO_118_003,Edinburgh,Point,STN,
VHO_118_004,London,Point,STN,
VHO_118_005,Cambridge,Point,STN,
VHO_118_006,Newcastle,Point,STN,
VHO_118_007,Cardiff,Point,STN,
VHO_118_008,Glasgow,Point,STN,
VHO_118_009,Oxford,Point,STN,
VHO_136_001,RDU Airport,Point,STN,
VHO_136_002,RTP,Point,STN,
VHO_136_003,Durham,Point,STN,
VHO_136_004,Chapel Hill,Point,STN,
VHO_136_005,Raleigh,Point,STN,
VHO_105_001,Greeley,Point,STN,
VHO_105_002,"Cheyenne, WY",Point,STN,
VHO_105_003,Vail,Point,STN,
VHO_105_004,Pueblo,Point,STN,
VHO_105_005,Denver INTL,Point,STN,
VHO_105_006,Colorado Springs,Point,STN,
VHO_105_007,DTC,Point,STN,
VHO_105_008,Silverthorne/ Dillion,Point,STN,
VHO_105_009,West Metro,Point,STN,
VHO_105_010,Fort Collins,Point,STN,
VHO_105_011,Longmont/Boulder,Point,STN,
VHO_105_012,I-76,Point,STN,
